Skill,Turkce_Skill
Doctor,Doktor
Site engineering,Şantiye mühendisliği
Traffic Management,Trafik Yönetimi
New business,Yeni İş
Sftp,Sftp
Flipkart,Flipkart
Orm,Orm
Visual design,Görsel tasarım
Rails,Rails
Office 365 implementation,Office 365 implementation
Employee communication,Çalışan İletişimi
Functional testing,Fonksiyonel Test
Data communication,Veri İletişimi
3d graphics,3B Grafik
Windows,Windows
Prosecution,Savcılık
Roller,Roller
Voice calling,Sesli Arama
Salesforce,Salesforce
Label,Etiket
Trust,Güven
Sal 40k,Sal 40k
Ar executive,AR Yöneticisi
System,Sistem
Saint,Saint
Database,Veritabanı
Product test engineer,Ürün Test Mühendisi
New projects,Yeni Projeler
Exhibitions,Sergiler
Sales associate,Satış Temsilcisi
Hacmp,Hacmp
Qnx,Qnx
Business services,İş Hizmetleri
Legal compliance,Yasal Uyum
Cutting machines,Kesme Makineleri
Civil project management,Sivil Proje Yönetimi
Catalogue specialist,Katalog Uzmanı
Business consulting,İş Danışmanlığı
Production control,Üretim Kontrolü
Hardware architecture,Donanım Mimaris
Smartforms,Smartforms
Android development,Android Geliştirme
Administration,Yönetim
Javascript programming,Javascript Programlama
Active pharmaceutical ingredient,Active pharmaceutical ingredient
Order to cash,Siparişten Ödemeye
Word processor,Kelime İşlemci
Office,Ofis
Contract,Sözleşme
Udp,Udp
Insitutional sales of books,Kurumsal Kitap Satışı
Equity derivatives,Hisse Türevleri
Chef,Şef
Oracle service bus,Oracle Service Bus
Finance manager,Mali İşler Yöneticisi
Paint shop,Boyahane
Information technology,Bilgi Teknolojileri
Civil engineer,Sivil Mühendis
Visio,Visio
Revenue,Hasılat
Public speaking,Halka Açık Konuşma
Word &amp; tally,Word &amp; tally
Client acquisition,Müşteri Edinme
Terrain,Arazi
Freshers jobs in chennai,Freshers jobs in chennai
Field,Saha
J2seb,J2seb
Solar power,Güneş Enerjisi
Fire protection,Yangın Koruması
Pricing,Fiyatlandırma
Asp.net mvc,Asp.net mvc
Portfolios,Portföyler
Forensics,Adli İnceleme
Chemical engg,Kimya Mühendisliği
Noida,Noida
Tablets,Tabletler
Immediate joining,Acil Katılma
Software installations,Yazılım Kurulumları
It architecture,BT Mimari
Z brush,Z brush
Metro ethernet,Metro Ethernet
International business,Uluslararası İş
Sales strategy,Satış Stratejisi
Employment law,İstihdam Hukuku
Iis desktop,Iis desktop
Hr manager,İK Yöneticisi
Hr management system,İK Yönetim Sistemi
Data manager,Veri Yöneticisi
Film,Film
Uspi,Uspi
Recreation,Eğlence
Open systems,Açık Sistemler
Standards,Standartlar
File systems,Dosya Sistemleri
Data analtics,Veri Analitiği
Prime time,Prime time
Interpersonal skills,Kişilerarası Yetenekler
Computer operators,Bilgisayar Operatörleri
B tech,B tech
Report content,Rapor İçeriği
Distributed systems,Dağıtık Sistemler
Ssis,Ssis
Physics,Fizik
Call centre,Çağrı Merkezi
Accountant,Muhasebeci
MSBuild,MSBuild
Biotechnolohy jobs,Biotechnolohy jobs
Budgeting,Bütçeleme
Diploma,Diploma
Ms project,Ms Project
Dba consultant,DBA Danışmanı
Bd corporate networking,Bd corporate networking
Medical coding jobs in chennai,Medical coding jobs in chennai
Elevators,Asansörler
Iti fitter,İti Tesisatçısı
Energy,Enerji
Withholding tax,Stopaj Vergisi
Servlets,Servlets
Sap basis administrator,SAP Basis Yöneticisi
Sales training,Satış Eğitimi
Frame,Frame
Sec filing,Sec filing
Ooad,OOAD
Crfs,Crfs
F&amp;b production,F&amp;b production
Syndicate finance,Sendika Finansmanı
Freelancer,Serbest Çalışan
Technology,Teknoloji
Mbbs,Mbbs
C  net,C  net
Digital video,Dijital Video
C#.net,C#.net
Texture artist,Dokulu Sanatçı
Organizational development,Kurumsal Gelişim
Angular2,Angular2
Net c  net,Net c  net
Procure to pay,Tedarikten Ödemeye
Ea,Ea
Software,Yazılım
Website sales,Web sitesi Satışı
Lpar,Lpar
Product quality,Ürün Kalitesi
Store executive,Mağaza Yöneticisi
Repair,Onarım
Teaching and counselling,Öğretim ve Danışmanlık
Senior accountant,Kıdemli Muhasebeci
Space science,Uzay Bilimi
Eclipse,Eclipse
Power tools,Güç Araçları
Crp,Crp
Executive,Yönetici
Hcpcs,Hcpcs
Regulatory cmc,Düzenleyici CMC
Apache,Apache
Budget preparation,Bütçe Hazırlama
Credit default swaps,Kredi Temerrüt Swapları
Information retrieval,Bilgi Erişimi
Consultant,Danışman
MSBI,MSBI
Lotus domino server,Lotus Domino Server
Manpower optimization,İş Gücü Optimizasyonu
Biochemistry jobs,Biyokimya İşleri
Franchisee sales,Franchising Satışları
Trizetto facets,Trizetto Facets
Hibernate,Hibernate
Health economist,Sağlık Ekonomisti
Catalog specialist,Katalog Uzmanı
Export import,İhracat İthalat
Sales invoice,Satış Faturası
Sr. marketing executive,Kıdemli Pazarlama Yöneticisi
Product portfolio,Ürün Portföyü
Key skills,Anahtar Beceriler
Database performance tuning,Veritabanı Performans Ayarlaması
Pre settlement,Ön Uzlaşma
Big data analytics,Büyük Veri Analitiği
Sites,Sites
Hrbp,HRBP
Express delivery,Hızlı Teslimat
Customers,Müşteriler
Engineering management,Mühendislik Yönetimi
Ios developer,iOS Geliştiricisi
Temperature,Sıcaklık
Cle,CLE
Prototypes,Prototipler
Full stack developers,Tam Yığın Geliştiricileri
Advertisement sales,Reklam Satışları
Client,Müşteri
Emc documentum,Emc Documentum
Content strategy,İçerik Stratejisi
Experts,Uzmanlar
Contact personalisation,İletişim Kişiselleştirme
Trial master file,Deneme Ana Dosyası
Terminal,Terminal
Solutions sales,Çözüm Satışları
Mapping,Haritalama
Ideas,Fikirler
Com,Com
Econometrics,Ekonometri
Ready mix concrete,Hazır Beton
Key accounts,Anahtar Hesaplar
Oracle sql developer,Oracle SQL Geliştiricisi
Chemical testing of water,Suyun Kimyasal Testi
Datapump,Datapump
Hls,HLS
Nursing jobs,Hemşirelik İşleri
Tiger,Tiger
Mobile application testing,Mobil Uygulama Testi
Front office,Ön Ofis
Brms,BRMS
MSAN,MSAN
Promotions,Promosyonlar
Oracle developer,Oracle Geliştiricisi
Blogs,Bloglar
Middleware,Ara Yazılım
Freelance writer,Serbest Yazar
Business opportunity,İş Fırsatı
Brand solution,Marka Çözümü
Business development,İş Gelişimi
SIF,SIF
Structural management,Yapısal Yönetim
Windows os,Windows OS
Php development,PHP Geliştirme
Content management,İçerik Yönetimi
Icfr,ICFR
Customer managment,Müşteri Yönetimi
Process implementation,Süreç Uygulaması
Tables,Tablolar
Product marketing,Ürün Pazarlaması
Product design,Ürün Tasarımı
Mechanical design,Mekanik Tasarım
Snow flake schema,Kar Tanesi Şeması
Ibm infosphere datastage,IBM InfoSphere DataStage
Purchase order,Satın Alma Siparişi
Traffic,Trafik
Invoice processing,Fatura İşleme
Web analytics,Web Analitiği
Data entry,Veri Girişi
Product,Ürün
Project implementation,Proje Uygulaması
Websphere,Websphere
Asp,Asp
Voice over ip,Sesli IP
Dom,DOM
Production planning control,Üretim Planlama Kontrolü
Cycle count,Döngü Sayısı
Monthly reports,Aylık Raporlar
Manager quality,Yönetici Kalitesi
Ensuring dispatches,Teslimatları Güvence Altına Alma
Quality engineering,Kalite Mühendisliği
Quality systems,Kalite Sistemleri
Chfi,CHFI
Taxation,Vergilendirme
Sales engagement,Satış Katılımı
Payroll,Bordro
Naroda,Naroda
Gts,GTS
Project delivery,Proje Teslimi
&amp;quot ; recruitment executive,&amp;quot ; recruitment executive
Bfc,BFC
Microsoft dynamics ax,Microsoft Dynamics AX
Hand tools,El Araçları
MS-DOS,MS-DOS
Back-end,Arka Uç
Concrete technology,Beton Teknolojisi
Books of accounts,Muhasebe Defterleri
Complex programmable logic device,Karmaşık Programlanabilir Mantık Cihazı
Tekla structures,Tekla Yapıları
Hotel,Otel
Plsql,PL/SQL
Software developer,Yazılım Geliştiricisi
Scanner,Tarayıcı
Branch accounts,Şube Hesapları
Service marketing,Hizmet Pazarlaması
Acord,ACORD
Oracle enterprise resource planning,Oracle Kurumsal Kaynak Planlaması
Factiva,Factiva
Qa qc,QA QC
Hybrid mobile apps,Hibrit Mobil Uygulamalar
Position,Pozisyon
Infrastructure,Altyapı
Ahmedabad,Ahmedabad
Financial management,Finansal Yönetim
Infotainment,Eğlence Sistemleri
Communication skill,İletişim Becerisi
Cuda,CUDA
Struts,Struts
Ctas,CTAS
Profitability,Karlılık
Adler,Adler
3d,3B
Customer facing sales engineers,Müşteri Yüzlü Satış Mühendisleri
Leadership development,Liderlik Gelişimi
Ethical hacking,Etik Hacking
Real estate,Gayrimenkul
Nunit,NUnit
Assistant manager ped,Yardımcı Yönetici PED
Receptionist,Resepsiyonist
Webmethods,WebMethods
Marketing manager,Pazarlama Yöneticisi
Mapi,MAPI
Gd&t,Gd&t
Bonds,Tahviller
Bidding,İhale
Data entry operation,Veri girişi işlemi
Project reports,Proje raporları
Iis administration,IIS yönetimi
Print media outdoor media,Basılı medya dış mekan medyası
Education,Eğitim
Data guard,Veri koruması
Admin manager,Yönetici
Strategy manager,Strateji yöneticisi
Web server,Web sunucusu
Business process,İş süreci
Technical head,Teknik sorumlu
Sparch,Sparch
Web developer,Web geliştiricisi
Compositor,Compositor
Network configuration,Ağ yapılandırması
Facilities,Tesisler
Rtsp,Rtsp
Specman,Specman
Social networking,Sosyal ağ
Robotics,Robotik
Strategic sourcing,Stratejik tedarik
Strategic planning,Stratejik planlama
Mobile,Mobile
Unix scripting,Unix betikleme
Oracle financials,Oracle finansal
Educational sales,Eğitimsel satış
Advertising,Reklamcılık
Net suite,Net suite
Optimization,Optimizasyon
Dayshift job,Gündüz vardiyası işi
Customer service associate,Müşteri hizmetleri temsilcisi
Good communication,İyi iletişim
Windows application developer,Windows uygulama geliştiricisi
Adobe experience manager,Adobe experience manager
Photoshop developer,Photoshop geliştiricisi
Thread management,İş parçacığı yönetimi
Digital marketing,Dijital pazarlama
Code optimization,Kod optimizasyonu
Citrix xendesktop,Citrix xendesktop
Objectoriented design,Nesne yönelimli tasarım
Credit monitoring,Kredi izleme
Motors,Motorlar
Telephone operator,Telefon operatörü
Stakeholder management,Paydaş yönetimi
Sap payroll,Sap bordro
Workflows,İş akışları
Opportunity identification,Fırsat tanımlama
Data protection,Veri koruması
Gentran integration suite,Gentran entegrasyon paketi
Last mile delivery,Son mil teslimatı
Solidworks,Solidworks
Fis,Fis
3d cad,3d cad
Captain,Kaptan
War,Savaş
Information architecture,Bilgi mimarisi
Function,Fonksiyon
Petty cash,Küçük kasa
Mobile games,Mobil oyunlar
Vmware view,Vmware view
Mobile applications,Mobil uygulamalar
